date,selected_stocks,avg_dividend_yield,avg_momentum
2020-10-31,10,0.07160850765623718,0.898160042862634
2020-11-30,10,0.057502226318641825,1.4600827194739798
2020-12-31,10,0.0546316227060221,1.5344686779551728
2021-01-31,10,0.07509944239439588,1.7365722163101593
2021-02-28,10,0.07134000671350561,2.601935772204389
2021-03-31,10,0.0716409800161595,4.720681747507975
2021-04-30,10,0.06800983204736172,2.5603432939863544
2021-05-31,10,0.05454699220735197,3.3576377790369847
2021-06-30,10,0.06064704148216632,2.814400756987895
2021-07-31,10,0.060010223423901075,1.766394565449111
2021-08-31,10,0.05717391824556449,1.4763329439032133
2021-09-30,10,0.060335928802516016,1.7251024514921909
2021-10-31,10,0.0526838690096762,2.1021411916952246
2021-11-30,10,0.05227324969646556,1.0671942446853735
2021-12-31,10,0.052403540411767716,1.0487117290252101
2022-01-31,10,0.05403355906440741,0.8619006591512679
2022-02-28,10,0.05037978503830516,0.8125696410036299
2022-03-31,10,0.04782907324192029,0.6747542110797109
2022-04-30,10,0.05041969620354446,0.6124337349697188
2022-05-31,10,0.047827730829836275,0.6301073574220716
2022-06-30,10,0.07029427452062312,0.5425925984954283
2022-07-31,10,0.07224868251432712,0.681072355611261
2022-08-31,10,0.05533692850180403,0.8112576052735674
2022-09-30,10,0.0701766567268078,0.5069312200964022
2022-10-31,10,0.07649460816053319,0.5028300413661932
2022-11-30,10,0.0569345389615105,0.6642617618867812
2022-12-31,10,0.05775169732144536,0.49574955465357406
2023-01-31,10,0.06642587735033893,0.48813302651968404
2023-02-28,10,0.07529957354506775,0.5374558966086509
2023-03-31,10,0.07165082462538827,0.47188927671089054
2023-04-30,10,0.07885540234433372,0.577459834342662
2023-05-31,10,0.08076282364114745,0.8115426543833271
2023-06-30,10,0.07218181836089665,0.7734982964046062
2023-07-31,10,0.06161166503454348,0.6791492245501538
2023-08-31,10,0.06525777178084041,0.7014661891988032
2023-09-30,10,0.07786942211589372,0.8001517783096748
2023-10-31,10,0.0875265400713219,0.6325756789657828
2023-11-30,10,0.07559204252369399,1.1731746256740618
2023-12-31,10,0.07375415701242136,1.3695025615680203
2024-01-31,10,0.07719008220952527,0.819130103837022
2024-02-29,10,0.06853229934360014,1.002721332698482
2024-03-31,10,0.07663913820242622,1.3029220481494388
2024-04-30,10,0.05971319438419711,1.3128604620681619
2024-05-31,10,0.07950775011792446,1.2284077606127164
2024-06-30,10,0.0805302120264855,0.8845433067725615
2024-07-31,10,0.07031521280027438,1.0678292298606544
2024-08-31,10,0.06977151582756794,0.8103477928359546
2024-09-30,10,0.07091830560666068,0.891370631462115
2024-10-31,10,0.06890708079075278,0.9156618224150741
2024-11-30,10,0.06267327445245796,0.8623177535873534
2024-12-31,10,0.055869610688206325,0.9484787462120694
